VOICE	en-US	en-GB	de-DE	de-CH	ru-RU	es-MX	es-ES	pt-BR	fr-FR	it-IT	zh-CN	ja-JP	ar-SA	Transcript-zh-CN
LANGUAGE	English US	English	Deutsch	Deutsch CH	Русский	Español MX	Español	Português BR	Français	Italiano	中文	日本語	العربية	
CODE	en	en	de	de	ru	es	es	pt	fr	it	zh-Hans	ja	ar	
COUNTRY	us	gb	de	ch	ru	mx	es	br	fr	it	cn	jp	ar	
all	vocabulary		der Wortschatz		словарный запас	el vocabulario		o vocabulário	le vocabulaire	il vocabolario	词汇	語彙	مفردات اللغة	Cíhuì
animal world	ant		die Ameise	Ameise	муравей	la hormiga		a formiga	la fourmi	la formica	蚂蚁	蟻	نملة	Mǎyǐ
animal world	bat		die Fledermaus	Flädermuus	летучая мышь	el murciélago		o morcego	la chauve-souris	il pipistrello	蝙蝠	コウモリ	خفاش	Biānfú
animal world	bear		der Bär	Bär	медведь	el oso		o urso	l'ours	l'orso	熊	クマ	دب	Xióng
animal world	bee		die Biene	Bienli	пчела	la abeja		a abelha	l'abeille	l'ape	蜜蜂	蜂	نحلة	Mìfēng
animal world	blackbird		die Schwarzdrossel	Schwarzdrossel	чёрный дрозд	el mirlo		o melro-preto	le merle	il merlo	黑鸟	クロウタドリ	شحرور	Hēi niǎo
animal world	bunny	rabbit	das Kaninchen	Chüngel	кролик	el conejo		o coelho	le lapin	il coniglietto	小兔子	バニー、兎	أرنب	Xiǎo tùzǐ
animal world	butterfly		der Schmetterling	Schmetterling	бабочка	la mariposa		a borboleta	le papillon	la farfalla	蝴蝶	蝶	فراشة	Húdié
animal world	bug		der Käfer	Käfer	жук	el insecto	el escarabajo	o inseto	l'insecte	l'insetto	飞虫	虫	بق	Fēi chóng
animal world	camel		das Kamel	Kamel	верблюд	el camello		o camelo	le chameau	il cammello	骆驼	ラクダ	جمل	Luòtuó
animal world	cat		die Katze	Chatz	кошка	el gato		o gato	le chat	il gatto	猫	猫	قط	Māo
animal world	caterpillar		die Raupe	Raupe	гусеница	la oruga		a lagarta	la chenille	il bruco	毛虫	毛虫	يرقة	máochóng
animal world	centipede		der Tausendfüßer	Tuusigfüessler	сороконожка	el ciempiés		a centopéia	le mille-pattes	il millepiedi	千足虫	百足	حريش ـ أم أربع و أربعين	qiānzú chóng
animal world	cheetah		der Gepard	Gepard	гепард	el guepardo		o guepardo	le guépard	il ghepardo	猎豹	チーター	الفهد	lièbào
animal world	cow		die Kuh	Chue	корова	la vaca		a vaca	la vache	la mucca	奶牛	牛	بقرة	nǎiniú
animal world	crocodile		das Krokodil	Krokodil	крокодил	el cocodrilo		o crocodilo	le crocodile	il coccodrillo	鳄鱼	ワニ	تمساح	èyú
animal world	chicken	hen	das Huhn	Huen	курица	la gallina		a galinha	la poule	il pollo	鸡	鶏	دجاج	jī
animal world	cockroach		die Schabe	Schabe	таракан	la cucaracha		a barata	le cafard	lo scarafaggio	螳螂	ゴキブリ	صرصور	tángláng
animal world	deer		der Hirsch	Hirsch	олень	el ciervo		o cervo	le cerf	il cervo	鹿	鹿	الغزال	lù
animal world	dinosaur		der Dinosaurier	Dinosaurier	динозавр	el dinosaurio		o dinossauro	le dinosaure	il dinosauro	恐龙	恐竜	ديناصور	kǒnglóng
animal world	dog		der Hund	Hund	собака	el perro		o cachorro	le chien	il cane	狗	犬	الكلب	gǒu
animal world	dolphin		der Delfin	Delfin	дельфин	el delfín		o golfinho	le dauphin	il delfino	海豚	イルカ	دلفين	hǎitún
animal world	donkey		der Esel	Esel	осёл	el burro		o burro	l'âne	l'asino	驴子	ロバ	الحمار	lǘzi
animal world	dragonfly		die Libelle	Libälle	стрекоза	la libélula		a libélula	la libellule	la libellula	蜻蜓	トンボ	اليعسوب	qīngtíng
animal world	duck		die Ente	Änte	утка	el pato		o Pato	le canard	l'anatra	鸭子	アヒル	بط	yāzi
animal world	eagle		der Adler	Adler	орёл	el águila		a Águia	l'aigle	l'aquila	鹰	ワシ	نسر	yīng
animal world	elephant		der Elefant	Elefant	слон	el elefante		o elefante	l'éléphant	l'elefante	大象	象	فيل	dà xiàng
animal world	elk		der Elch	Elch	лось	el alce		o Alce	l'élan	l'alce	麋鹿	ヘラジカ	ظبي	mílù
animal world	falcon		der Falke	Falke	сокол	el halcón		o falcão	le faucon	il falco	鹘	ハヤブサ	صقر	gǔ
animal world	fly		die Fliege	Flüüge	муха	la mosca		a mosca	la mouche	la mosca	苍蝇	ハエ	ذبابة	cāngyíng
animal world	fox		der Fuchs	Fuchs	лиса	el zorro		a Raposa	le renard	la volpe	狐狸	狐	ثعلب	húlí
animal world	frog		der Frosch	Frosch	лягушка	la rana		a rã	la grenouille	la rana	青蛙	カエル	ضفدع	qīngwā
animal world	giraffe		die Giraffe	Giraff	жираф	la jirafa		a girafa	la girafe	la giraffa	长颈鹿	キリン	زرافة	chángjǐnglù
animal world	goat		die Ziege	Geiss	коза	la cabra		o bode	la chèvre	la capra	山羊	ヤギ	ماعز	shānyáng
animal world	goose		die Gans	Gans	гусь	el ganso		o Ganso	l'oie	l'oca	鹅	ガチョウ	أوز	é
animal world	gorilla		der Gorilla	Gorilla	горилла	el gorila		o gorila	le gorille	il gorilla	大猩猩	ゴリラ	غوريلا	dà xīngxīng
animal world	grasshopper		der Grashüpfer	Heugümper	кузнечик	el chapulín	el saltamontes	o gafanhoto	la sauterelle	la cavalletta	蚱蜢	バッタ	جندب	zhàměng
animal world	hamster		der Hamster	Hamster	хомяк	el hámster		o Hamster	le hamster	il criceto	仓鼠	ハムスター	الهمستر حيوان قارض	cāngshǔ
animal world	hare		der Hase	Haas	заяц	la liebre		a lebre	le lièvre	la lepre	野兔	野ウサギ	أرنب بري	yětù
animal world	hedgehog		der Igel	Igel	ёж	el erizo		o ouriço	le hérisson	il riccio	刺猬	ハリネズミ	قنفذ	cìwèi
animal world	horse		das Pferd	Ross	лошадь	el caballo		o cavalo	le cheval	il cavallo	马	馬	حصان	mǎ
animal world	jellyfish		die Qualle	Qualle	медуза	la medusa		a água-viva	la méduse	la medusa	海蜇	クラゲ	قناديل البحر	Hǎizhē
animal world	ladybug	ladybird	der Marienkäfer	Marichäfer	божья коровка	la catarina	la mariquita	a joaninha	la coccinelle	la coccinella	瓢虫	てんとう虫	دعسوقة ( خنفساء صغيرة)	piáo chóng
animal world	lion		der Löwe	Leu	лев	el león		o leão	le lion	il leone	狮子	ライオン	أسد	shīzi
animal world	lizard		die Eidechse		ящерица	el lagarto		o lagarto	le lézard	la lucertola	蜥蜴	トカゲ	سحلية	xīyì
animal world	mole		der Maulwurf 	Muulwurf	крот	el topo		a toupeira	la taupe	la talpa	痣	モグラ	الخلد	zhì
animal world	mouse		die Maus	Muus	мышь	el ratón		o rato	la souris	il topo	老鼠（可爱）	マウス	فأر	lǎoshǔ (kě'ài)
animal world	monkey		der Affe	Aff	обезьяна	el chango	el mono	o macaco	le singe	la scimmia	猴子	猿	قرد	hóuzi
animal world	mosquito		die Mücke	Mugge	комар	el mosquito		o mosquito	le moustique	la zanzara	蚊子	蚊	بعوض	wénzi
animal world	owl		die Eule	Üle	сова	el búho		a coruja	le hibou	il gufo	猫头鹰	フクロウ	بومة	māotóuyīng
animal world	parrot		der Papagei	Papagei	попугай	el perico	el papagayo	o papagaio	le perroquet	il pappagallo	鹦鹉	オウム	ببغاء	yīngwǔ
animal world	pig		das Schwein	Sau	свинья	el cerdo		o porco	le cochon	il maiale	猪	豚	خنزير	zhū
animal world	pigeon		die Taube	Tuube	голубь	la paloma		o Pombo	le pigeon	il piccione	鸽子	鳩	حمامة	gēzi
animal world	rat		die Ratte	Ratte	крыса	la rata		o rato	le rat	il ratto	老鼠，卑鄙小人	ラット	فأر	lǎoshǔ, bēibǐ xiǎo rén
animal world	rooster	cock	der Hahn	Güggel	петух	el gallo		o galo	le coq	il gallo	公鸡	雄鶏	ديك	gōngjī
animal world	rhino		das Nashorn	Nashorn	носорог	el rinoceronte		o rinoceronte	le rhinocéros	il rinoceronte	犀牛	サイ	وحيد القرن	xīniú
animal world	seagull		die Möwe	Möwe	чайка	la gaviota		a gaivota	la mouette	il gabbiano	海鸥	カモメ	نورس ( طائر مائي)	hǎi'ōu
animal world	shark		der Haifisch	Haifisch	акула	el tiburón		o Tubarão	le requin	lo squalo	鲨鱼	サメ	سمك القرش	shāyú
animal world	sheep		das Schaf	Schaff	овца	la oveja		a Ovelha	le mouton	la pecora	绵羊	羊	خروف	miányáng
animal world	snail		die Schnecke	Schnegg	улитка	el caracol		o Caracol	l'escargot	la lumaca	蜗牛	カタツムリ	حلزون	wōniú
animal world	snake		die Schlange	Schlange	змея	la serpiente		a serpente	le serpent	il serpente	蛇	ヘビ	ثعبان	shé
animal world	sparrow		der Spatz	Spatz	воробей	el gorrión		o pardal	le moineau	il passero	麻雀	スズメ	عصفور	máquè
